"Backend","PP","Environment","Model.Unique","response","SE","df","lower.CL","upper.CL"
"wasm-bypass","wasm","Chrome","guitar-lstm",0.00107559158479922,1.35484087399869e-05,1296.00000000073,0.00104933808347788,0.00110250192526753
"js-bypass","wasm","Chrome","guitar-lstm",0.00109048521681135,1.37360124893814e-05,1295.99999999986,0.00106386818532369,0.00111776818264594
"js-onnx","wasm","Chrome","guitar-lstm",0.0122147445662778,0.000153859842692413,1295.99999999998,0.0119166018352053,0.0125203465621073
"wasm-onnx","wasm","Chrome","guitar-lstm",0.0119494273318439,0.000150517843379035,1295.99999999998,0.0116577605777716,0.0122483913275146
"wasm-bypass","js","Chrome","guitar-lstm",0.00109435543450553,1.37847626766966e-05,1295.99999999986,0.0010676439370823,0.001121735229729
"js-bypass","js","Chrome","guitar-lstm",0.00111003636878615,1.39822834736803e-05,1295.99999999998,0.00108294212438472,0.00113780848697525
"js-onnx","js","Chrome","guitar-lstm",0.012326229230198,0.000155264130171392,1295.99999999998,0.0120253653335707,0.0126346204727132
"wasm-onnx","js","Chrome","guitar-lstm",0.0119602691657142,0.000150654409710383,1295.99999999998,0.0116683377795047,0.0122595044143817
"wasm-bypass","wasm","Firefox","guitar-lstm",0.0007973330913514,1.0043398234251e-05,1295.99999999998,0.000777871442837986,0.00081728165292268
"js-bypass","wasm","Firefox","guitar-lstm",0.00081053404988268,1.02096806638171e-05,1295.99999999998,0.0007907501867042,0.000830812887642065
"js-onnx","wasm","Firefox","guitar-lstm",0.00608968543323162,7.67071335564409e-05,1295.99999999998,0.00594104577592361,0.00624204392196392
"wasm-onnx","wasm","Firefox","guitar-lstm",0.00667747690120573,8.41110954082605e-05,1295.99999999998,0.00651449017731667,0.00684454140730661
"wasm-bypass","js","Firefox","guitar-lstm",0.00084670965419799,1.0665357224146e-05,1295.99999999998,0.000826042801333542,0.000867893573256383
"js-bypass","js","Firefox","guitar-lstm",0.000859959119267657,1.08322506536661e-05,1295.99999999998,0.000838968867769722,0.000881474528104407
"js-onnx","js","Firefox","guitar-lstm",0.00617436878754279,7.77738253322928e-05,1295.99999999998,0.00602366214255496,0.00632884597813992
"wasm-onnx","js","Firefox","guitar-lstm",0.00667892289326143,8.41293094698826e-05,1295.99999999998,0.00651590087497728,0.00684602357679162
"wasm-bypass","wasm","Safari","guitar-lstm",0.000799991122821981,1.00768794341006e-05,1295.99999999998,0.000780464595934925,0.000820006185965847
"js-bypass","wasm","Safari","guitar-lstm",0.000812322632987286,1.02322100841929e-05,1295.99999999998,0.00079249511330427,0.000832646219497945
"js-onnx","wasm","Safari","guitar-lstm",0.00723754970047356,9.11659062824516e-05,1295.99999999998,0.00706089247917319,0.00741862672761713
"wasm-onnx","wasm","Safari","guitar-lstm",0.00621631640015875,7.83022074890703e-05,1295.99999999998,0.00606458587982753,0.00637184308254559
"wasm-bypass","js","Safari","guitar-lstm",0.00113703227312117,1.43223303384992e-05,1295.99999999998,0.00110927910109317,0.00116547980471734
"js-bypass","js","Safari","guitar-lstm",0.00117872772912116,1.48475362702595e-05,1295.99999999998,0.00114995683649674,0.0012082184437738
"js-onnx","js","Safari","guitar-lstm",0.00718100562123289,9.04536635425444e-05,1295.99999999986,0.00700572855210183,0.00736066796603295
"wasm-onnx","js","Safari","guitar-lstm",0.00668154588682041,8.41623493238205e-05,1295.99999999998,0.00651845984538302,0.00684871219530594
"wasm-bypass","wasm","Chrome","steerable-nafx",0.000175967216829033,2.2165251310357e-06,1295.99999999998,0.000171672133430442,0.000180369759376829
"js-bypass","wasm","Chrome","steerable-nafx",0.000183209092245942,2.30774552507649e-06,1295.99999999998,0.000178737246042107,0.000187792820046443
"js-onnx","wasm","Chrome","steerable-nafx",0.0423152852071688,0.000533013448634355,1295.99999999998,0.0412824355532669,0.0433739758366154
"wasm-onnx","wasm","Chrome","steerable-nafx",0.042247307136601,0.000532157180606209,1295.99999999998,0.0412161167206392,0.0433042970154568
"wasm-bypass","js","Chrome","steerable-nafx",0.000180712120201415,2.27629306826143e-06,1295.99999999998,0.000176301221163583,0.000185233375992272
"js-bypass","js","Chrome","steerable-nafx",0.000189341229126652,2.3849873872141e-06,1295.99999999998,0.000184719707092348,0.000194078377513173
"js-onnx","js","Chrome","steerable-nafx",0.0424198401864977,0.000534330448149574,1295.99999999998,0.0413844385097586,0.0434811466881129
"wasm-onnx","js","Chrome","steerable-nafx",0.042397652369636,0.00053405096510402,1295.99999999998,0.0413627922626596,0.043458403751897
"wasm-bypass","wasm","Firefox","steerable-nafx",0.000156524601172711,1.97162129615165e-06,1295.99999999998,0.000152704081486814,0.000160440706847721
"js-bypass","wasm","Firefox","steerable-nafx",0.000165395668433897,2.08336338014806e-06,1295.99999999998,0.000161358619928553,0.000169533720285959
"js-onnx","wasm","Firefox","steerable-nafx",0.0205512399195056,0.000258868331137988,1295.99999999998,0.0200496164296911,0.0210654135808616
"wasm-onnx","wasm","Firefox","steerable-nafx",0.0210876354081975,0.000265624896947714,1296.00000000011,0.0205729193469366,0.02161522920544
"wasm-bypass","js","Firefox","steerable-nafx",0.000147461542583729,1.8574608434916e-06,1295.99999999998,0.000143862237924059,0.000151150898630199
"js-bypass","js","Firefox","steerable-nafx",0.00016294555218539,2.0525011301413e-06,1295.99999999998,0.000158968307169657,0.000167022304317961
"js-onnx","js","Firefox","steerable-nafx",0.0205648727016279,0.000259040052920737,1296.00000000011,0.0200629164570127,0.0210793874430124
"wasm-onnx","js","Firefox","steerable-nafx",0.0211203755839361,0.000266037300028393,1295.99999999986,0.0206048603864054,0.021648788511124
"wasm-bypass","wasm","Safari","steerable-nafx",0.000170573144094191,2.14858010132583e-06,1295.99999999998,0.000166409721539431,0.000174840731761476
"js-bypass","wasm","Safari","steerable-nafx",0.000218390688078738,2.75090131692544e-06,1295.99999999998,0.000213060114374858,0.000223854627974107
"js-onnx","wasm","Safari","steerable-nafx",0.0208285188372192,0.000262361002673593,1295.99999999998,0.020320127404502,0.0213496297693625
"wasm-onnx","wasm","Safari","steerable-nafx",0.0211880226622204,0.000266889398798608,1295.99999999998,0.0206708563057514,0.0217181280588679
"wasm-bypass","js","Safari","steerable-nafx",0.000175276827756021,2.20782882522318e-06,1295.99999999998,0.000170998595670417,0.000179662097386037
"js-bypass","js","Safari","steerable-nafx",0.000233028808915392,2.93528658646748e-06,1295.99999999986,0.000227340941671698,0.000238858981515718
"js-onnx","js","Safari","steerable-nafx",0.0207719979285926,0.000261649051796282,1296.00000000023,0.0202649860824864,0.0212916947581005
"wasm-onnx","js","Safari","steerable-nafx",0.0211332444313528,0.000266199399106969,1295.99999999974,0.0206174151254676,0.0216619793256054
